ID,Prob1
0, 0.37
1, 0.49
2, 0.57
3, 0.63
4, 0.23
5, 0.20
6, 0.44
7, 0.32
8, 0.30
9, 0.38
10, 0.24
11, 0.28
12, 0.24
13, 0.51
14, 0.52
15, 0.16
16, 0.18
17, 0.26
18, 0.33
19, 0.45
20, 0.46
21, 0.23
22, 0.43
23, 0.19
24, 0.29
25, 0.67
26, 0.33
27, 0.34
28, 0.53
29, 0.36
30, 0.50
31, 0.22
32, 0.34
33, 0.17
34, 0.25
35, 0.52
36, 0.60
37, 0.31
38, 0.52
39, 0.24
40, 0.57
41, 0.24
42, 0.32
43, 0.24
44, 0.32
45, 0.37
46, 0.33
47, 0.41
48, 0.19
49, 0.23
50, 0.19
51, 0.20
52, 0.24
53, 0.34
54, 0.34
55, 0.16
56, 0.22
57, 0.30
58, 0.35
59, 0.19
60, 0.40
61, 0.24
62, 0.30
63, 0.56
64, 0.38
65, 0.19
66, 0.30
67, 0.20
68, 0.20
69, 0.41
70, 0.23
71, 0.23
72, 0.37
73, 0.29
74, 0.32
75, 0.32
76, 0.27
77, 0.27
78, 0.38
79, 0.35
80, 0.25
81, 0.29
82, 0.44
83, 0.55
84, 0.21
85, 0.56
86, 0.18
87, 0.83
88, 0.30
89, 0.35
90, 0.30
91, 0.19
92, 0.42
93, 0.35
94, 0.15
95, 0.22
96, 0.57
97, 0.14
98, 0.30
99, 0.50
100, 0.65
101, 0.35
102, 0.23
103, 0.34
104, 0.26
105, 0.49
106, 0.30
107, 0.05
108, 0.33
109, 0.21
110, 0.23
111, 0.20
112, 0.16
113, 0.29
114, 0.60
115, 0.35
116, 0.67
117, 0.24
118, 0.29
119, 0.26
120, 0.18
121, 0.22
122, 0.33
123, 0.18
124, 0.45
125, 0.34
126, 0.28
127, 0.62
128, 0.47
129, 0.29
130, 0.18
131, 0.22
132, 0.21
133, 0.74
134, 0.17
135, 0.39
136, 0.54
137, 0.31
138, 0.25
139, 0.40
140, 0.24
141, 0.27
142, 0.22
143, 0.34
144, 0.76
145, 0.51
146, 0.59
147, 0.39
148, 0.32
149, 0.43
150, 0.19
151, 0.51
152, 0.32
153, 0.21
154, 0.39
155, 0.77
156, 0.30
157, 0.45
158, 0.21
159, 0.50
160, 0.25
161, 0.19
162, 0.29
163, 0.23
164, 0.31
165, 0.60
166, 0.21
167, 0.28
168, 0.18
169, 0.28
170, 0.34
171, 0.18
172, 0.45
173, 0.25
174, 0.29
175, 0.20
176, 0.25
177, 0.37
178, 0.18
179, 0.34
180, 0.32
181, 0.16
182, 0.65
183, 0.18
184, 0.28
185, 0.17
186, 0.33
187, 0.15
188, 0.47
189, 0.66
190, 0.20
191, 0.21
192, 0.46
193, 0.52
194, 0.24
195, 0.35
196, 0.26
197, 0.28
198, 0.21
199, 0.32
200, 0.25
201, 0.22
202, 0.35
203, 0.37
204, 0.16
205, 0.20
206, 0.57
207, 0.68
208, 0.28
209, 0.54
210, 0.25
211, 0.18
212, 0.33
213, 0.49
214, 0.28
215, 0.50
216, 0.13
217, 0.20
218, 0.26
219, 0.23
220, 0.23
221, 0.36
222, 0.49
223, 0.52
224, 0.19
225, 0.26
226, 0.33
227, 0.55
228, 0.57
229, 0.28
230, 0.24
231, 0.25
232, 0.30
233, 0.22
234, 0.19
235, 0.30
236, 0.43
237, 0.34
238, 0.31
239, 0.50
240, 0.30
241, 0.30
242, 0.39
243, 0.54
244, 0.36
245, 0.27
246, 0.13
247, 0.73
248, 0.22
249, 0.35
250, 0.24
251, 0.58
252, 0.69
253, 0.22
254, 0.15
255, 0.19
256, 0.39
257, 0.34
258, 0.25
259, 0.21
260, 0.74
261, 0.36
262, 0.52
263, 0.24
264, 0.26
265, 0.23
266, 0.30
267, 0.41
268, 0.39
269, 0.48
270, 0.38
271, 0.41
272, 0.63
273, 0.67
274, 0.39
275, 0.22
276, 0.24
277, 0.25
278, 0.31
279, 0.67
280, 0.71
281, 0.21
282, 0.69
283, 0.36
284, 0.32
285, 0.49
286, 0.26
287, 0.21
288, 0.28
289, 0.41
290, 0.39
291, 0.49
292, 0.21
293, 0.48
294, 0.15
295, 0.36
296, 0.18
297, 0.15
298, 0.24
299, 0.25
300, 0.24
301, 0.26
302, 0.22
303, 0.39
304, 0.37
305, 0.23
306, 0.32
307, 0.23
308, 0.28
309, 0.39
310, 0.09
311, 0.52
312, 0.23
313, 0.59
314, 0.13
315, 0.31
316, 0.45
317, 0.54
318, 0.40
319, 0.35
320, 0.28
321, 0.21
322, 0.31
323, 0.45
324, 0.23
325, 0.32
326, 0.27
327, 0.21
328, 0.26
329, 0.27
330, 0.31
331, 0.67
332, 0.20
333, 0.39
334, 0.11
335, 0.27
336, 0.24
337, 0.54
338, 0.34
339, 0.20
340, 0.26
341, 0.51
342, 0.36
343, 0.19
344, 0.23
345, 0.29
346, 0.19
347, 0.18
348, 0.24
349, 0.28
350, 0.20
351, 0.36
352, 0.28
353, 0.29
354, 0.33
355, 0.46
356, 0.37
357, 0.33
358, 0.17
359, 0.25
360, 0.45
361, 0.26
362, 0.28
363, 0.18
364, 0.80
365, 0.25
366, 0.25
367, 0.34
368, 0.15
369, 0.27
370, 0.23
371, 0.23
372, 0.52
373, 0.37
374, 0.28
375, 0.54
376, 0.53
377, 0.24
378, 0.20
379, 0.29
380, 0.28
381, 0.18
382, 0.17
383, 0.31
384, 0.23
385, 0.71
386, 0.24
387, 0.39
388, 0.21
389, 0.26
390, 0.49
391, 0.30
392, 0.30
393, 0.33
394, 0.40
395, 0.11
396, 0.26
397, 0.28
398, 0.15
399, 0.52
400, 0.33
401, 0.62
402, 0.41
403, 0.19
404, 0.45
405, 0.25
406, 0.31
407, 0.26
408, 0.25
409, 0.31
410, 0.20
411, 0.33
412, 0.35
413, 0.19
414, 0.79
415, 0.34
416, 0.21
417, 0.30
418, 0.39
419, 0.30
